#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-05T08:57:08 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-05T08:57:08	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out.all&-out.max=99999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[1/2352] Running sequence number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA1	(F6.2)	[0.08/180]? "sersic" position angle (3)	[ucd=pos.posAng]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f2	(F6.3)	[0.02/1]? "edgedisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu02	(F6.3)	[11.8/24.6]? "edgedisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	PA2	(F6.2)	[-90/90]? "edgedisk" PA	[ucd=pos.posAng]
#Column	hr2	(F6.2)	[1/153]? "edgedisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	hz2	(F5.2)	[0.003/39]? "edgedisk" z-scale h_z_	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA3	(F6.2)	[-90/90]? "expdisk" position angle (3)	[ucd=pos.posAng]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	f4	(F6.3)	[0.003/0.6]? "ferrer2" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu04	(F6.3)	[16/24.8]? "ferrer2" central surface sky brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	q4	(F6.3)	[0.01/1]? "ferrer2" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA4	(F6.2)	[-90/90]? "ferrer2" position angle (3)	[ucd=pos.posAng]
#Column	Rbar	(F6.2)	[3.7/232.5]? "ferrer2" outer truncation radius of the bar (R_bar_)	[ucd=phys.size.radius]
#Column	f5	(F6.3)	[0.001/0.4]? "psf" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag5	(F6.3)	[11.5/21.1]? "psf" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
recno	Seq	Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	PA1	Re	n	f2	mu02	PA2	hr2	hz2	f3	mag3	q3	PA3	hr3	mu03	f4	mu04	q4	PA4	Rbar	f5	mag5
    2776	1340	NGC4984   	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.246	20.035	 0.697	-87.12	 57.83	      	
    2777	1341	NGC4995   	_dbarfn 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.924	10.783	 0.638	-85.82	 21.49	19.440	      	      	      	      	      	      	
    2778	1341	NGC4995   	_dbarfn 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.041	19.462	 0.387	 33.72	 18.00	      	
    2779	1341	NGC4995   	_dbarfn 	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.035	14.336
    2780	1342	NGC5002   	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.945	13.983	 0.600	 -6.96	 17.99	22.254	      	      	      	      	      	      	
    2781	1342	NGC5002   	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.055	21.986	 0.268	 34.56	 18.14	      	
    2782	1343	NGC5005   	_bdbar  	3	5	B      	sersic  	 0.152	11.000	 0.558	 66.30	  4.91	 1.999	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2783	1343	NGC5005   	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.693	 9.352	 0.396	 66.96	 38.43	19.271	      	      	      	      	      	      	
    2784	1343	NGC5005   	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.156	18.444	 0.292	 78.40	 56.49	      	
    2785	1344	NGC5012   	_bd     	2	5	B      	sersic  	 0.070	14.093	 0.724	 13.37	  2.00	 1.367	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2786	1344	NGC5012   	_bd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.930	11.280	 0.563	 12.54	 17.36	19.473	      	      	      	      	      	      	
    2787	1345	NGC5014   	_bd     	2	3	B      	sersic  	 0.649	12.958	 0.233	101.04	  9.91	 1.693	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2788	1345	NGC5014   	_bd     	2	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.351	13.622	 0.318	-78.97	 12.21	21.051	      	      	      	      	      	      	
    2789	1346	NGC5016   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.988	12.233	 0.749	 63.12	 10.01	19.230	      	      	      	      	      	      	
    2790	1346	NGC5016   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.012	17.047
    2791	1347	NGC5018   	_bd     	2	3	B      	sersic  	 0.883	10.177	 0.708	 94.12	 28.40	 5.453	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2792	1347	NGC5018   	_bd     	2	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.117	12.405	 0.647	-66.03	 18.85	20.777	      	      	      	      	      	      	
    2793	1348	NGC5022   	_bz     	2	5	B      	sersic  	 0.582	12.092	 0.319	 24.62	 68.18	13.639	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2794	1348	NGC5022   	_bz     	2	5	Z      	edgedisk	      	      	      	      	      	      	 0.418	19.209	 22.82	 14.40	 4.06	      	      	      	      	      	      	      	      	      	      	      	      	
    2795	1349	NGC5023   	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	20.722	 27.80	 38.21	 8.78	      	      	      	      	      	      	      	      	      	      	      	      	
    2796	1350	NGC5033   	_bdd    	3	5	B      	sersic  	 0.084	12.039	 0.819	130.89	  3.12	 2.000	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2797	1350	NGC5033   	_bdd    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.439	10.242	 0.535	 -8.40	 64.73	21.293	      	      	      	      	      	      	
    2798	1350	NGC5033   	_bdd    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.477	10.153	 0.401	 -9.56	 14.55	17.963	      	      	      	      	      	      	
    2799	1351	NGC5042   	_dd     	2	5	D      	sersic  	 0.163	13.238	 0.762	 78.24	 24.78	 1.449	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2800	1351	NGC5042   	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.837	11.460	 0.564	 15.87	 35.93	21.233	      	      	      	      	      	      	
    2801	1352	NGC5054   	_bd     	2	5	B      	sersic  	 0.141	12.154	 0.640	156.79	  5.04	 0.726	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2802	1352	NGC5054   	_bd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.859	10.196	 0.611	-23.37	 36.03	19.974	      	      	      	      	      	      	
    2803	1353	NGC5055   	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.170	 9.876	 0.556	-78.55	 14.99	17.749	      	      	      	      	      	      	
    2804	1353	NGC5055   	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.814	 8.177	 0.556	-78.55	 73.57	19.507	      	      	      	      	      	      	
    2805	1353	NGC5055   	_ddn    	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.016	12.459
    2806	1354	NGC5068   	_ndbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.959	 9.737	 0.974	-80.86	 59.69	20.612	      	      	      	      	      	      	
    2807	1354	NGC5068   	_ndbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.040	20.489	 0.274	-25.92	 53.55	      	
    2808	1354	NGC5068   	_ndbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.001	17.221
    2809	1355	NGC5073   	_bz     	2	5	B      	sersic  	 0.183	13.402	 0.407	151.47	  1.38	 2.519	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2810	1355	NGC5073   	_bz     	2	5	Z      	edgedisk	      	      	      	      	      	      	 0.817	19.002	-30.38	 22.26	 5.56	      	      	      	      	      	      	      	      	      	      	      	      	
    2811	1356	NGC5078   	_bz     	2	5	B      	sersic  	 0.803	 9.639	 0.437	146.91	 59.09	 3.788	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2812	1356	NGC5078   	_bz     	2	5	Z      	edgedisk	      	      	      	      	      	      	 0.197	17.479	-33.32	 13.07	 4.00	      	      	      	      	      	      	      	      	      	      	      	      	
    2813	1357	NGC5079   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.973	12.345	 0.518	 28.86	 13.45	19.984	      	      	      	      	      	      	
    2814	1357	NGC5079   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.027	16.239
    2815	1358	NGC5084   	_bzz    	3	4	B      	sersic  	 0.767	 9.612	 0.566	 82.40	 86.89	 8.206	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2816	1358	NGC5084   	_bzz    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.102	18.523	 82.16	 19.66	 3.51	      	      	      	      	      	      	      	      	      	      	      	      	
    2817	1358	NGC5084   	_bzz    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.130	21.377	 58.38	121.73	13.40	      	      	      	      	      	      	      	      	      	      	      	      	
    2818	1359	NGC5085   	_bd     	2	5	B      	sersic  	 0.051	13.656	 0.753	 47.16	  6.63	 1.109	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2819	1359	NGC5085   	_bd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.949	10.484	 0.909	 52.09	 29.94	19.861	      	      	      	      	      	      	
    2820	1360	NGC5088   	_dd     	2	5	D      	sersic  	 0.192	14.228	 0.353	  7.54	  7.22	 0.849	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2821	1360	NGC5088   	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.808	12.663	 0.343	 -0.95	 19.19	21.075	      	      	      	      	      	      	
    2822	1361	NGC5101   	_bdbar  	3	5	B      	sersic  	 0.223	11.227	 0.950	169.19	  9.47	 2.657	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2823	1361	NGC5101   	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.606	10.134	 0.927	-55.07	 52.59	20.734	      	      	      	      	      	      	
    2824	1361	NGC5101   	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.171	19.794	 0.344	-58.27	 75.58	      	
    2825	1362	NGC5103   	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.412	17.621	-40.92	  4.27	 2.60	      	      	      	      	      	      	      	      	      	      	      	      	
    2826	1362	NGC5103   	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.444	20.505	-30.69	 17.64	12.93	      	      	      	      	      	      	      	      	      	      	      	      	
    2827	1362	NGC5103   	_zzn    	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.144	14.156
    2828	1363	NGC5105   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.989	12.959	 0.742	-44.40	 13.94	20.677	      	      	      	      	      	      	
    2829	1363	NGC5105   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.011	17.804
    2830	1364	NGC5107   	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.937	13.672	 0.352	-51.27	 14.49	21.473	      	      	      	      	      	      	
    2831	1364	NGC5107   	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.063	21.250	 0.181	-58.51	 19.50	      	
    2832	1365	NGC5109   	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.481	 0.320	-28.13	 12.69	20.994	      	      	      	      	      	      	
    2833	1366	NGC5112   	_dbar   	2	5	B      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.946	11.920	 0.665	-60.34	 34.07	21.577	      	      	      	      	      	      	
    2834	1366	NGC5112   	_dbar   	2	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.054	20.358	 0.183	-53.08	 26.63	      	
    2835	1367	NGC5116   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.981	12.376	 0.400	 38.87	 14.06	20.111	      	      	      	      	      	      	
    2836	1367	NGC5116   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.019	16.671
    2837	1368	NGC5117   	_bdbarf 	3	5	B      	sersic  	 0.057	16.483	 0.551	 11.62	  6.24	 0.534	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2838	1368	NGC5117   	_bdbarf 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.790	13.619	 0.539	-27.38	 22.67	22.392	      	      	      	      	      	      	
    2839	1368	NGC5117   	_bdbarf 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.153	22.014	 0.300	-27.38	 37.50	      	
    2840	1369	NGC5122   	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.224	16.459	-62.26	  1.08	 1.00	      	      	      	      	      	      	      	      	      	      	      	      	
    2841	1369	NGC5122   	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.637	18.972	-46.69	  9.52	 4.34	      	      	      	      	      	      	      	      	      	      	      	      	
    2842	1369	NGC5122   	_zzn    	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.139	14.902
    2843	1370	NGC5134   	_bdbarfn	4	5	B      	sersic  	 0.066	13.646	 0.775	152.93	  5.39	 0.815	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2844	1370	NGC5134   	_bdbarfn	4	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.747	11.012	 0.967	 78.97	 23.23	19.837	      	      	      	      	      	      	
    2845	1370	NGC5134   	_bdbarfn	4	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.144	20.127	 0.465	-27.36	 42.00	      	
    2846	1370	NGC5134   	_bdbarfn	4	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.043	14.123
    2847	1371	NGC5145   	_bd     	2	3	B      	sersic  	 0.805	11.875	 0.535	 83.83	  8.01	 1.612	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2848	1371	NGC5145   	_bd     	2	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.195	13.410	 0.762	 74.37	 12.84	20.948	      	      	      	      	      	      	
    2849	1372	NGC5147   	_dbarfn 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.989	11.990	 0.817	-60.18	 16.18	20.031	      	      	      	      	      	      	
    2850	1372	NGC5147   	_dbarfn 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.010	21.265	 0.225	 14.36	 15.00	      	
    2851	1372	NGC5147   	_dbarfn 	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.001	19.458
    2852	1373	NGC5169   	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.913	13.507	 0.395	-81.10	 17.39	21.703	      	      	      	      	      	      	
    2853	1373	NGC5169   	_ddn    	3	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.076	19.904	 0.480	-82.91	  7.72	      	
    2854	1373	NGC5169   	_ddn    	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.011	18.309
    2855	1374	NGC5170   	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.964	18.681	-53.70	 33.44	 9.44	      	      	      	      	      	      	      	      	      	      	      	      	
    2856	1374	NGC5170   	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.036	14.018
    2857	1375	NGC5173   	_b      	1	5	B      	sersic  	 1.000	12.416	 0.849	 97.37	 10.45	 4.600	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2858	1376	NGC5194   	_bd     	2	5	B      	sersic  	 0.128	 9.963	 0.817	130.04	 21.62	 0.995	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2859	1376	NGC5194   	_bd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.872	 7.853	 0.840	 39.15	 84.20	19.475	      	      	      	      	      	      	
    2860	1377	NGC5195   	_bdbar  	3	3	B      	sersic  	 0.253	10.122	 0.840	126.28	  7.69	 2.580	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2861	1377	NGC5195   	_bdbar  	3	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.521	 9.271	 0.758	-75.69	 79.88	20.779	      	      	      	      	      	      	
    2862	1377	NGC5195   	_bdbar  	3	3	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.226	19.728	 0.927	 53.32	 79.92	      	
    2863	1378	NGC5204   	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	11.875	 0.636	 -6.25	 26.92	21.021	      	      	      	      	      	      	
    2864	1379	NGC5205   	_bdbar  	3	5	B      	sersic  	 0.287	13.734	 0.495	108.37	 12.64	 4.376	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2865	1379	NGC5205   	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.515	13.111	 0.544	-13.26	 20.08	21.620	      	      	      	      	      	      	
    2866	1379	NGC5205   	_bdbar  	3	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.198	21.419	 0.568	-39.51	 36.99	      	
    2867	1380	NGC5216   	_b      	1	4	B      	sersic  	 1.000	12.013	 0.931	 59.46	 30.44	 5.322	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2868	1381	NGC5218   	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.611	12.226	 0.850	-51.61	 11.31	19.488	      	      	      	      	      	      	
    2869	1381	NGC5218   	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.275	18.735	 0.291	-86.02	 24.36	      	
    2870	1381	NGC5218   	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.114	14.056
    2871	1382	NGC5229   	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	21.238	-11.50	 20.27	 7.28	      	      	      	      	      	      	      	      	      	      	      	      	
    2872	1383	NGC5236   	_bdbarf 	3	5	B      	sersic  	 0.080	 9.611	 0.897	149.33	  9.35	 0.664	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2873	1383	NGC5236   	_bdbarf 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.872	 7.022	 0.944	  4.08	106.75	19.159	      	      	      	      	      	      	
    2874	1383	NGC5236   	_bdbarf 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.048	19.174	 0.373	 45.61	101.25	      	
    2875	1384	NGC5238   	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.514	 0.755	 -6.68	 25.12	22.510	      	      	      	      	      	      	
    2876	1385	NGC5240   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.994	12.644	 0.680	 57.90	 15.50	20.592	      	      	      	      	      	      	
    2877	1385	NGC5240   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.006	18.205
    2878	1386	NGC5247   	_bd     	2	5	B      	sersic  	 0.086	12.411	 0.855	  6.93	 11.81	 1.060	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2879	1386	NGC5247   	_bd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.914	 9.847	 0.868	 61.61	 57.34	20.634	      	      	      	      	      	      	
    2880	1387	NGC5248   	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.201	11.470	 0.782	-76.10	  4.24	16.605	      	      	      	      	      	      	
    2881	1387	NGC5248   	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.795	 9.978	 0.782	-76.10	 31.66	19.475	      	      	      	      	      	      	
    2882	1387	NGC5248   	_ddn    	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.005	15.526
    2883	1388	NGC5253   	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.674	10.874	 0.469	 42.22	 30.94	20.322	      	      	      	      	      	      	
    2884	1388	NGC5253   	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.117	19.016	 0.634	 13.90	 21.75	      	
    2885	1388	NGC5253   	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.209	12.149
    2886	1389	NGC5254   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.996	11.369	 0.453	-52.01	 32.47	20.921	      	      	      	      	      	      	
    2887	1389	NGC5254   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.004	17.392
    2888	1390	NGC5264   	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	12.122	 0.796	 59.81	 28.17	21.367	      	      	      	      	      	      	
    2889	1391	NGC5273   	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.894	11.325	 0.859	  5.54	 17.49	19.533	      	      	      	      	      	      	
    2890	1391	NGC5273   	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.106	13.645
    2891	1392	NGC5289   	_bdd    	3	4	B      	sersic  	 0.334	13.388	 0.564	 98.04	  2.22	 2.572	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
    2892	1392	NGC5289   	_bdd    	3	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.537	12.866	 0.263	-80.53	 19.52	21.315	      	      	      	      	      	      	
    2893	1392	NGC5289   	_bdd    	3	4	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.129	19.884	 0.535	-86.06	 16.52	      	
    2894	1393	NGC5290   	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.868	18.167	-85.21	 16.96	 5.84	      	      	      	      	      	      	      	      	      	      	      	      	
    2895	1393	NGC5290   	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.132	13.230
    2896	1394	NGC5297   	_bdbarf 	3	5	B      	sersic  	 0.033	14.983	 0.749	159.21	  1.76	 1.480	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
